operateur;annee;filiere;code_categorie_consommation;libelle_categorie_consommation;code_grand_secteur;libelle_grand_secteur;code_naf;libelle_secteur_naf2;conso;pdl;indqual;nombre_mailles_secretisees;code_region;libelle_region
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;72;Recherche-développement scientifique;135719.2771;131;0.995;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;75;Activités vétérinaires;1204.307968;23;0.885;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;77;Activités de location et location-bail;17371.36323;231;0.915;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;88;Action sociale sans hébergement;106935.3465;797;0.942;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;94;Activités des organisations associatives;62186.18198;582;0.926;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;X;Secteur Inconnu;;0;6634.348055;121;0.859;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;PRO;Petits professionels;A;Agriculture;;0;390022.7856;34533;0.586;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;PRO;Petits professionels;X;Secteur Inconnu;;0;228033.5269;37973;0.496;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;18964849.17;4152567;0.646;0;84;Auvergne-Rhône-Alpes
Enedis;2020;Electricité;ENT;Entreprises;A;Agriculture;1;0;165938.5212;1388;0.956;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;22;Fabrication de produits en caoutchouc et en plastique;81973.63397;98;0.992;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;23;Fabrication d'autres produits minéraux non métalliques;124359.2553;269;0.99;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;24;Métallurgie;20213.13193;16;0.996;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;27;Fabrication d'équipements électriques;11793.69868;33;0.972;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;29;Industrie automobile;6105.851607;39;0.958;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;38;"Collecte, traitement et élimination des déchets ; récupération";59604.7096;158;0.99;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;39;Dépollution et autres services de gestion des déchets;222.5372317;7;0.894;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;47;Commerce de détail, à l'exception des automobiles et des motocycles;1127159.238;3640;0.961;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;50;Transports par eau;13387.31051;15;0.992;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;55;Hébergement;473923.9464;2123;0.956;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;56;Restauration;236390.8733;2167;0.932;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;61;Télécommunications;162060.5266;347;0.981;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;64;Activités des services financiers, hors assurance et caisses de retraite;141651.7593;941;0.948;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;70;"Activités des sièges sociaux ; conseil de gestion";226563.0729;1474;0.946;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;73;Publicité et études de marché;3237.354167;32;0.906;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;77;Activités de location et location-bail;10006.14155;131;0.907;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;78;Activités liées à l'emploi;7924.673338;10;0.985;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;81;Services relatifs aux bâtiments et aménagement paysager;16481.98009;138;0.914;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;85;Enseignement;254394.8181;1116;0.96;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;88;Action sociale sans hébergement;99124.67103;606;0.934;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;93;Activités sportives, récréatives et de loisirs;84283.83433;498;0.961;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;97;Activités des ménages en tant qu'employeurs de personnel domestique;7793.983484;91;0.909;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;T;Tertiaire;98;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;32685.13132;443;0.91;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;14712618.98;3037384;0.698;0;93;Provence-Alpes-Côte d'Azur
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;20;Industrie chimique;343.2037269;1;0.907;0;XX;Non affecté à une région
Enedis;2020;Electricité;ENT;Entreprises;I;Industrie;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;190.8764941;2;0.859;0;XX;Non affecté à une région
